Date,Product,Category,Quantity,Unit_Price,Sales,Region
2021-09-10,Precision Wireless Mouse,Electronics Accessories,1,41.91,41.91,South
2025-10-25,Precision Wireless Mouse,Electronics Accessories,2,38.67,77.34,West
2023-08-20,USB-C Fast Charging Hub,Electronics Accessories,20,50.56,1011.2,South
2021-09-03,Smartphone Ultra,Technology,3,921.66,2764.98,South
2022-06-09,Smartphone Ultra,Technology,4,927.9,3711.6,North
2022-05-27,Wireless Noise-Canceling Headphones,Technology,2,205.96,411.92,South
2023-04-14,4K Ultra HD Monitor,Technology,1,344.32,344.32,South
2024-02-23,Gel Pens Pack (24ct),Office Supplies,2,18.69,37.38,West
2023-12-14,External SSD 1TB,Electronics Accessories,4,104.9,482.54,South
2024-05-04,HD Streaming Webcam 1080p,Electronics Accessories,2,68.0,136.0,West
2021-09-26,4K Ultra HD Monitor,Technology,3,354.8,1064.4,Central
2025-06-16,Gel Pens Pack (24ct),,1,19.3,19.3,West
2024-11-17,Smartphone Ultra,Technology,4,941.63,4331.5,North
2025-06-13,USB-C Fast Charging Hub,Electronics Accessories,1,48.69,48.69,East
2023-03-01,Ergonomic Mechanical Keyboard,Technology,2,133.08,266.16,West
2022-11-28,Smartphone Ultra,Technology,3,887.03,3060.25,North
2022-04-19,Wireless Noise-Canceling Headphones,Technology,1,193.5,193.5,East
2025-11-21,Executive Ergonomic Desk,Furniture,2,547.06,1258.24,East
2023-02-08,Smartphone Ultra,Technology,2,911.32,1822.64,East
2025-02-07,Heavy-Duty Stapler & Staples,Office Supplies,2,23.81,47.62,West
2022-11-22,Gel Pens Pack (24ct),Office Supplies,2,19.02,43.75,East
2021-01-12,USB-C Fast Charging Hub,Electronics Accessories,1,48.52,,North
2021-03-31,4K Ultra HD Monitor,Technology,1,354.13,354.13,South
2024-05-04,USB-C Fast Charging Hub,Electronics Accessories,1,49.19,49.19,East
2024-07-24,4K Ultra HD Monitor,Technology,3,363.2,1089.6,Central
2025-09-09,Conference Room Table,Furniture,4,819.02,3276.08,West
2024-04-28,Laptop Pro 15,Technology,1,1233.16,1233.16,East
2025-12-27,Ergonomic Mechanical Keyboard,Technology,1,133.11,153.08,East
2022-01-31,Braided HDMI 4K Cable (2-Pack),Electronics Accessories,1,20.78,20.78,Central
2024-11-08,External SSD 1TB,Electronics Accessories,8,108.0,993.6,East
2023-06-10,Ergonomic Mechanical Keyboard,Technology,1,127.3,127.3,North
2024-04-24,External SSD 1TB,Electronics Accessories,8,105.74,845.92,North
2022-10-20,Conference Room Table,Furniture,2,817.94,1635.88,Central
2025-03-23,Heavy-Duty Stapler & Staples,Office Supplies,1,25.29,25.29,South
2025-03-21,Laptop Pro 15,Technology,3,1238.61,3715.83,East
2022-05-26,Ergonomic Mechanical Keyboard,Technology,4,128.31,513.24,Central
2022-03-21,Standing Desk Converter,Furniture,1,177.76,177.76,South
2025-01-14,Heavy-Duty Stapler & Staples,Office Supplies,1,26.01,26.01,South
2023-06-14,High-Back Mesh Chair,Furniture,3,255.51,766.53,East
2025-03-12,Self-Adhesive Sticky Notes Bulk,Office Supplies,2,15.09,30.18,South
2022-11-03,Braided HDMI 4K Cable (2-Pack),Electronics Accessories,1,20.92,24.06,South
2024-06-04,Ergonomic Mechanical Keyboard,Technology,1,136.4,136.4,East
2025-03-17,Laptop Pro 15,Technology,1,1166.01,1166.01,East
2023-02-23,Executive Ergonomic Desk,Furniture,8,571.8,4574.4,Central
2022-11-07,Standing Desk Converter,Furniture,1,177.03,203.58,South
2022-05-17,Standing Desk Converter,Furniture,1,177.48,177.48,North
2023-07-14,Ergonomic Mechanical Keyboard,Technology,3,134.07,402.21,North
2022-03-26,Smartphone Ultra,Technology,2,892.49,1784.98,North
2025-12-30,Precision Wireless Mouse,Electronics Accessories,1,38.17,43.9,East
2023-04-07,Precision Wireless Mouse,Electronics Accessories,1,40.37,40.37,West
2022-02-09,USB-C Fast Charging Hub,Electronics Accessories,1,47.67,47.67,North
2023-02-10,External SSD 1TB,Electronics Accessories,3,110.37,331.11,East
2024-01-14,Self-Adhesive Sticky Notes Bulk,Office Supplies,1,15.9,15.9,East
2022-03-25,4K Ultra HD Monitor,Technology,1,342.11,342.11,East
2021-09-07,Document Filing Cabinet Tray,Office Supplies,1,34.19,34.19,East
2021-08-24,Gel Pens Pack (24ct),Office Supplies,4,18.39,73.56,East
2023-07-08,External SSD 1TB,,2,110.98,221.96,West
2025-09-24,Heavy-Duty Stapler & Staples,Office Supplies,5,25.75,128.75,North
2022-03-11,High-Back Mesh Chair,Furniture,2,252.91,505.82,Central
2023-01-29,Laptop Pro 15,Technology,1,1234.03,1234.03,East
2024-09-15,Self-Adhesive Sticky Notes Bulk,Office Supplies,5,14.95,74.75,West
2021-07-24,Ergonomic Mechanical Keyboard,Technology,2,136.23,272.46,North
2024-04-21,Bookshelf 5-Tier,Furniture,1,142.68,142.68,East
2024-05-03,Standing Desk Converter,Furniture,1,174.26,174.26,Central
2025-12-18,High-Back Mesh Chair,Furniture,1,252.04,252.04,South
2022-06-08,Ergonomic Mechanical Keyboard,Technology,2,130.62,261.24,North
2021-09-06,High-Back Mesh Chair,Furniture,1,254.25,254.25,East
2023-11-16,Gel Pens Pack (24ct),Office Supplies,1,19.54,22.47,North
2022-12-27,Standing Desk Converter,Furniture,1,174.76,174.76,West
2024-08-28,High-Back Mesh Chair,Furniture,1,255.67,255.67,North
2025-03-10,Gel Pens Pack (24ct),Office Supplies,1,18.81,18.81,South
2023-11-29,Executive Ergonomic Desk,Furniture,1,562.03,646.33,North
2021-01-25,Wireless Noise-Canceling Headphones,Technology,1,194.65,194.65,East
2025-02-02,Self-Adhesive Sticky Notes Bulk,Office Supplies,2,15.47,30.94,East
2022-09-05,Multipurpose Copy Paper (Carton),Office Supplies,1,42.77,42.77,South
2025-10-31,Heavy-Duty Stapler & Staples,Office Supplies,2,24.35,48.7,Central
2022-05-31,Ergonomic Mechanical Keyboard,Technology,1,125.48,125.48,Central
2023-11-30,Laptop Pro 15,Technology,2,1149.62,2644.13,Central
2022-10-08,HD Streaming Webcam 1080p,Electronics Accessories,4,73.28,293.12,Central
2022-12-16,Bookshelf 5-Tier,Furniture,3,153.78,530.54,South
2021-08-13,Heavy-Duty Stapler & Staples,Office Supplies,2,24.55,49.1,West
2021-05-19,Executive Ergonomic Desk,Furniture,1,555.07,555.07,Central
2021-01-10,4K Ultra HD Monitor,Technology,1,334.3,334.3,East
2021-11-17,High-Back Mesh Chair,Furniture,4,245.07,980.28,North
2021-11-14,4K Ultra HD Monitor,Technology,5,344.7,1982.02,South
2025-04-20,Precision Wireless Mouse,Electronics Accessories,1,41.74,41.74,Central
2023-05-23,Document Filing Cabinet Tray,Office Supplies,1,36.2,36.2,West
2024-11-03,Gel Pens Pack (24ct),Office Supplies,4,18.12,83.35,
2024-08-11,Smartphone Ultra,Technology,4,890.31,3561.24,West
2021-05-23,Braided HDMI 4K Cable (2-Pack),Electronics Accessories,3,19.59,58.77,East
2023-11-29,High-Back Mesh Chair,Furniture,5,250.59,1252.95,Central
2025-08-20,Heavy-Duty Stapler & Staples,Office Supplies,3,24.09,72.27,East
2024-01-26,Gel Pens Pack (24ct),Office Supplies,1,19.29,19.29,West
2025-03-26,Multipurpose Copy Paper (Carton),Office Supplies,2,40.52,81.04,East
2021-08-04,Self-Adhesive Sticky Notes Bulk,Office Supplies,4,14.9,59.6,East
2025-09-05,Conference Room Table,Furniture,2,797.91,1595.82,West
2024-07-30,Gel Pens Pack (24ct),Office Supplies,3,18.87,56.61,South
2021-01-23,Smartphone Ultra,Technology,1,885.82,885.82,East
2024-05-18,HD Streaming Webcam 1080p,Electronics Accessories,1,72.87,72.87,East
2023-10-05,Wireless Noise-Canceling Headphones,Technology,1,201.85,201.85,East
2023-10-11,USB-C Fast Charging Hub,Electronics Accessories,1,51.35,51.35,North
2023-03-25,Laptop Pro 15,Technology,2,1251.06,2502.12,North
2022-07-21,Wireless Noise-Canceling Headphones,Technology,5,192.48,962.4,North
2021-11-09,Multipurpose Copy Paper (Carton),Office Supplies,1,43.54,43.54,South
2024-05-18,Executive Ergonomic Desk,Furniture,5,568.96,2844.8,East
2024-04-20,Precision Wireless Mouse,Electronics Accessories,5,38.12,190.6,North
2021-03-04,Conference Room Table,Furniture,1,832.15,832.15,South
2024-01-13,Smartphone Ultra,Technology,1,914.71,914.71,East
2021-11-23,Standing Desk Converter,Furniture,1,180.62,207.71,North
2022-11-01,Gel Pens Pack (24ct),Office Supplies,1,19.31,19.31,North
2024-04-13,Bookshelf 5-Tier,Furniture,3,142.53,427.59,East
2023-04-11,Executive Ergonomic Desk,Furniture,2,543.55,1087.1,North
2021-06-11,4K Ultra HD Monitor,Technology,1,345.56,345.56,South
2023-10-29,Wireless Noise-Canceling Headphones,Technology,4,206.79,827.16,North
2023-01-31,4K Ultra HD Monitor,Technology,2,350.18,700.36,West
2021-04-06,Laptop Pro 15,Technology,3,1206.8,3620.4,Central
2021-07-01,Gel Pens Pack (24ct),Office Supplies,8,19.62,156.96,North
2021-05-31,Smartphone Ultra,Technology,1,856.16,856.16,West
2022-05-29,4K Ultra HD Monitor,Technology,2,352.9,705.8,Central
2022-04-16,Gel Pens Pack (24ct),Office Supplies,1,18.3,18.3,North
2024-06-03,Braided HDMI 4K Cable (2-Pack),Electronics Accessories,2,19.81,39.62,Central
2022-12-15,Smartphone Ultra,Technology,1,923.71,1062.27,Central
2022-06-05,Executive Ergonomic Desk,Furniture,2,548.16,1096.32,East
2021-01-04,Multipurpose Copy Paper (Carton),Office Supplies,4,40.97,163.88,
2024-03-15,USB-C Fast Charging Hub,Electronics Accessories,1,48.85,48.85,East
2024-03-22,External SSD 1TB,Electronics Accessories,2,107.5,215.0,East
2024-08-03,Self-Adhesive Sticky Notes Bulk,Office Supplies,1,14.74,14.74,Central
2023-06-25,Standing Desk Converter,Furniture,2,182.39,364.78,Central
2021-05-10,Standing Desk Converter,Furniture,2,184.87,369.74,North
2021-01-29,Gel Pens Pack (24ct),Office Supplies,3,17.98,53.94,South
2024-06-04,Wireless Noise-Canceling Headphones,Technology,1,204.37,204.37,Central
2023-01-21,Conference Room Table,Furniture,1,797.7,797.7,South
2022-04-27,Bookshelf 5-Tier,Furniture,8,154.16,1233.28,East
2024-05-25,Executive Ergonomic Desk,Furniture,3,525.68,1577.04,West
2024-06-06,Executive Ergonomic Desk,Furniture,4,535.08,2140.32,North
2023-03-28,USB-C Fast Charging Hub,,1,48.01,48.01,North
2021-08-04,External SSD 1TB,Electronics Accessories,2,106.53,213.06,West
2022-12-11,Multipurpose Copy Paper (Carton),Office Supplies,3,43.17,148.94,Central
2021-02-16,Gel Pens Pack (24ct),Office Supplies,8,19.66,157.28,North
2021-09-07,Executive Ergonomic Desk,Furniture,2,531.46,1062.92,South
2023-04-07,Laptop Pro 15,Technology,1,1163.1,1163.1,Central
2025-02-22,Standing Desk Converter,Furniture,1,186.19,186.19,East
2021-05-11,Gel Pens Pack (24ct),Office Supplies,2,18.86,37.72,East
2025-03-20,Wireless Noise-Canceling Headphones,Technology,4,201.44,805.76,West
2024-02-06,Smartphone Ultra,Technology,2,901.81,1803.62,North
2025-12-10,Smartphone Ultra,Technology,1,944.12,1085.74,Central
2021-11-14,Document Filing Cabinet Tray,Office Supplies,1,33.43,38.44,East
2024-10-14,External SSD 1TB,,2,112.94,225.88,East
2025-08-21,Multipurpose Copy Paper (Carton),Office Supplies,1,40.84,40.84,Central
2022-08-08,Self-Adhesive Sticky Notes Bulk,Office Supplies,1,14.79,14.79,North
2021-03-02,Standing Desk Converter,Furniture,8,174.92,1399.36,South
2025-10-01,Bookshelf 5-Tier,Furniture,15,155.02,2325.3,Central
2024-06-20,Wireless Noise-Canceling Headphones,Technology,1,206.75,206.75,East
2022-05-21,Smartphone Ultra,Technology,1,889.56,889.56,West
2025-03-25,Conference Room Table,Furniture,1,809.37,,Central
2023-04-30,Braided HDMI 4K Cable (2-Pack),Electronics Accessories,2,19.51,39.02,East
2024-01-18,4K Ultra HD Monitor,Technology,1,340.35,340.35,East
2022-09-27,High-Back Mesh Chair,Furniture,1,248.44,248.44,North
2025-01-26,External SSD 1TB,Electronics Accessories,1,113.86,113.86,East
2021-02-07,Bookshelf 5-Tier,Furniture,1,145.74,145.74,South
2025-09-08,Heavy-Duty Stapler & Staples,Office Supplies,10,25.07,250.7,East
2021-11-14,Laptop Pro 15,Technology,5,1147.37,6597.38,West
2024-08-05,Smartphone Ultra,Technology,4,903.93,3615.72,Central
2025-09-01,Document Filing Cabinet Tray,Office Supplies,4,36.23,144.92,South
2022-02-26,Ergonomic Mechanical Keyboard,Technology,2,132.33,264.66,North
2022-06-19,Braided HDMI 4K Cable (2-Pack),Electronics Accessories,1,20.73,20.73,North
2021-12-22,Braided HDMI 4K Cable (2-Pack),Electronics Accessories,1,20.48,23.55,West
2024-02-11,Smartphone Ultra,Technology,2,880.82,1761.64,East
2022-11-06,Smartphone Ultra,Technology,2,912.05,1824.1,South
2022-07-26,Laptop Pro 15,Technology,1,1255.55,1255.55,North
2024-09-09,Document Filing Cabinet Tray,Office Supplies,3,33.86,101.58,South
2022-04-19,Multipurpose Copy Paper (Carton),Office Supplies,1,42.85,42.85,North
2023-08-06,Braided HDMI 4K Cable (2-Pack),Electronics Accessories,2,19.88,39.76,West
2023-08-05,4K Ultra HD Monitor,Technology,1,361.24,361.24,South
2024-01-28,Smartphone Ultra,Technology,20,879.62,17592.4,East
2024-02-28,Ergonomic Mechanical Keyboard,Technology,1,132.51,132.51,West
2023-01-18,4K Ultra HD Monitor,Technology,8,342.05,2736.4,North
2025-01-16,Self-Adhesive Sticky Notes Bulk,Office Supplies,1,15.71,15.71,Central
2024-04-01,Standing Desk Converter,Furniture,3,184.03,552.09,North
2025-04-12,Document Filing Cabinet Tray,Office Supplies,2,35.22,70.44,Central
2023-11-17,Laptop Pro 15,Technology,1,1150.93,1323.57,West
2023-06-18,Document Filing Cabinet Tray,,5,33.36,166.8,North
2022-06-05,Executive Ergonomic Desk,Furniture,1,554.89,554.89,North
2022-01-30,Conference Room Table,Furniture,3,780.54,2341.62,Central
2024-10-21,Ergonomic Mechanical Keyboard,Technology,1,124.43,124.43,Central
2021-04-12,Gel Pens Pack (24ct),Office Supplies,4,19.12,76.48,Central
2023-06-08,Gel Pens Pack (24ct),Office Supplies,1,18.01,18.01,East
2021-08-30,Wireless Noise-Canceling Headphones,Technology,2,204.04,408.08,South
2022-08-12,Executive Ergonomic Desk,Furniture,1,570.0,570.0,North
2021-05-02,High-Back Mesh Chair,Furniture,1,261.41,,West
2022-09-27,Wireless Noise-Canceling Headphones,Technology,2,192.08,384.16,North
2025-09-10,External SSD 1TB,Electronics Accessories,4,112.29,449.16,East
2021-07-27,Gel Pens Pack (24ct),Office Supplies,3,18.72,56.16,East
2025-09-20,USB-C Fast Charging Hub,Electronics Accessories,1,49.89,49.89,West
2024-08-17,Wireless Noise-Canceling Headphones,Technology,1,194.93,194.93,East
2021-11-05,Wireless Noise-Canceling Headphones,Technology,4,204.88,942.45,East
2021-11-08,High-Back Mesh Chair,Furniture,1,253.32,291.32,East
2024-05-15,4K Ultra HD Monitor,Technology,2,340.21,,South
2022-02-08,Conference Room Table,Furniture,3,817.15,2451.45,East
2023-08-05,Document Filing Cabinet Tray,Office Supplies,2,35.02,70.04,East
2021-12-01,Conference Room Table,Furniture,2,790.65,1818.49,South
2025-07-25,4K Ultra HD Monitor,Technology,1,342.43,342.43,East
2023-01-22,Multipurpose Copy Paper (Carton),Office Supplies,3,40.93,122.79,East
2023-10-02,Heavy-Duty Stapler & Staples,Office Supplies,4,24.19,96.76,South
2024-01-13,Ergonomic Mechanical Keyboard,Technology,2,129.28,258.56,East
2024-04-01,4K Ultra HD Monitor,Technology,1,343.42,343.42,East
2024-08-19,Wireless Noise-Canceling Headphones,Technology,10,192.61,1926.1,North
2024-10-16,USB-C Fast Charging Hub,Electronics Accessories,3,49.73,149.19,South
2023-06-05,4K Ultra HD Monitor,Technology,1,365.69,365.69,North
2021-11-01,Ergonomic Mechanical Keyboard,Technology,2,128.13,294.7,West
2021-11-30,Standing Desk Converter,Furniture,1,180.71,180.71,East
2022-04-30,Braided HDMI 4K Cable (2-Pack),Electronics Accessories,1,20.27,20.27,Central
2021-10-03,Laptop Pro 15,Technology,3,1210.15,3630.45,Central
2025-12-26,Precision Wireless Mouse,Electronics Accessories,1,38.06,43.77,East
2021-05-31,High-Back Mesh Chair,Furniture,2,245.57,491.14,North
2024-09-26,Smartphone Ultra,Technology,3,873.16,2619.48,North
2024-05-01,Self-Adhesive Sticky Notes Bulk,Office Supplies,1,16.22,16.22,West
2025-04-11,USB-C Fast Charging Hub,Electronics Accessories,1,47.58,47.58,Central
2023-03-12,Standing Desk Converter,Furniture,3,173.03,519.09,East
2024-05-28,Braided HDMI 4K Cable (2-Pack),Electronics Accessories,2,20.32,40.64,
2023-02-20,Multipurpose Copy Paper (Carton),Office Supplies,20,44.06,881.2,West
2024-01-31,Executive Ergonomic Desk,Furniture,3,527.54,1582.62,South
2023-05-01,Heavy-Duty Stapler & Staples,Office Supplies,3,25.65,76.95,Central
2022-12-12,Executive Ergonomic Desk,Furniture,2,539.58,1241.03,South
2021-04-12,Executive Ergonomic Desk,Furniture,1,534.59,534.59,North
2021-03-26,Heavy-Duty Stapler & Staples,Office Supplies,2,25.64,51.28,Central
2021-01-12,Standing Desk Converter,Furniture,1,171.45,171.45,North
2021-12-09,Standing Desk Converter,Furniture,1,179.57,206.51,West
2021-12-02,Braided HDMI 4K Cable (2-Pack),Electronics Accessories,2,20.63,47.45,Central
2021-05-21,4K Ultra HD Monitor,Technology,1,345.79,345.79,South
2022-05-09,Ergonomic Mechanical Keyboard,Technology,2,131.52,,South
2022-11-01,Precision Wireless Mouse,Electronics Accessories,1,40.31,46.36,South
2024-02-06,Executive Ergonomic Desk,Furniture,1,550.23,550.23,North
2021-02-05,Executive Ergonomic Desk,Furniture,1,552.7,552.7,South
2022-07-13,Laptop Pro 15,Technology,2,1184.81,2369.62,Central
2022-06-05,Self-Adhesive Sticky Notes Bulk,Office Supplies,1,16.1,16.1,East
2022-12-21,Laptop Pro 15,Technology,5,1240.77,7134.43,South
2023-05-07,4K Ultra HD Monitor,Technology,3,362.28,1086.84,North
2025-05-04,Multipurpose Copy Paper (Carton),Office Supplies,1,42.18,42.18,West
2025-08-06,Braided HDMI 4K Cable (2-Pack),Electronics Accessories,1,19.18,19.18,North
2022-05-24,4K Ultra HD Monitor,Technology,1,340.61,340.61,North
2025-04-27,4K Ultra HD Monitor,Technology,3,353.39,1060.17,South
2021-10-29,Multipurpose Copy Paper (Carton),Office Supplies,1,40.44,40.44,North
2021-02-05,Heavy-Duty Stapler & Staples,Office Supplies,3,26.0,78.0,North
2023-12-30,Precision Wireless Mouse,Electronics Accessories,1,39.59,45.53,North
2021-06-09,High-Back Mesh Chair,Furniture,1,253.73,253.73,East
2021-02-27,USB-C Fast Charging Hub,Electronics Accessories,1,50.89,50.89,South
2021-12-20,Document Filing Cabinet Tray,Office Supplies,2,35.57,81.81,South
2021-10-14,High-Back Mesh Chair,Furniture,1,260.92,260.92,West
2023-07-01,Smartphone Ultra,Technology,2,863.69,1727.38,North
2024-07-26,Wireless Noise-Canceling Headphones,Technology,1,199.49,199.49,South
2021-11-17,Ergonomic Mechanical Keyboard,Technology,3,133.07,459.09,East
2023-10-10,Heavy-Duty Stapler & Staples,Office Supplies,4,25.71,102.84,West
2025-08-14,Heavy-Duty Stapler & Staples,Office Supplies,1,23.9,23.9,South
2022-03-25,Conference Room Table,Furniture,1,786.72,786.72,South
2024-12-13,High-Back Mesh Chair,Furniture,2,252.01,579.62,East
2021-02-11,Standing Desk Converter,Furniture,8,174.74,1397.92,East
2023-10-28,Heavy-Duty Stapler & Staples,Office Supplies,4,25.91,103.64,South
2023-07-20,Ergonomic Mechanical Keyboard,Technology,1,123.79,123.79,South
2023-04-02,USB-C Fast Charging Hub,Electronics Accessories,1,51.6,51.6,South
2022-01-16,Multipurpose Copy Paper (Carton),Office Supplies,3,42.95,128.85,South
2023-07-06,External SSD 1TB,Electronics Accessories,1,111.82,111.82,North
2021-05-08,Wireless Noise-Canceling Headphones,Technology,3,191.59,574.77,South
2022-01-25,Wireless Noise-Canceling Headphones,Technology,1,198.78,198.78,North
2023-10-08,Smartphone Ultra,Technology,1,913.51,913.51,East
2024-06-30,Laptop Pro 15,Technology,20,1146.97,22939.4,East
2024-03-25,4K Ultra HD Monitor,Technology,1,338.46,338.46,South
2025-04-25,Wireless Noise-Canceling Headphones,Technology,2,202.35,404.7,West
2022-02-26,Document Filing Cabinet Tray,Office Supplies,3,33.86,101.58,South
2022-04-28,Wireless Noise-Canceling Headphones,Technology,3,198.09,594.27,South
2024-04-21,Conference Room Table,Furniture,10,789.98,7899.8,South
2024-12-17,Conference Room Table,Furniture,1,819.8,942.77,South
2021-06-22,Braided HDMI 4K Cable (2-Pack),Electronics Accessories,4,20.94,83.76,North
2021-11-04,Executive Ergonomic Desk,Furniture,2,551.63,1103.26,North
2023-01-14,Smartphone Ultra,Technology,3,884.21,2652.63,West
2022-02-01,Self-Adhesive Sticky Notes Bulk,Office Supplies,3,15.44,46.32,North
2025-05-03,Laptop Pro 15,Technology,4,1253.13,5012.52,South
2024-07-31,USB-C Fast Charging Hub,Electronics Accessories,3,48.76,146.28,East
2023-08-14,Gel Pens Pack (24ct),Office Supplies,1,18.66,18.66,East
2021-04-11,Braided HDMI 4K Cable (2-Pack),Electronics Accessories,2,20.46,40.92,North
2025-02-15,4K Ultra HD Monitor,Technology,4,355.56,1422.24,North
2024-06-05,Braided HDMI 4K Cable (2-Pack),Electronics Accessories,2,19.77,39.54,South
2024-07-08,Gel Pens Pack (24ct),Office Supplies,1,18.16,18.16,East
2024-05-28,USB-C Fast Charging Hub,Electronics Accessories,1,47.6,47.6,Central
2023-08-21,Multipurpose Copy Paper (Carton),Office Supplies,3,44.52,133.56,North
2021-07-09,Multipurpose Copy Paper (Carton),Office Supplies,2,43.11,86.22,Central
2022-01-09,Wireless Noise-Canceling Headphones,Technology,10,195.85,1958.5,East
2021-09-30,HD Streaming Webcam 1080p,Electronics Accessories,1,67.59,67.59,Central
2023-09-12,Laptop Pro 15,Technology,2,1185.11,2370.22,North
2022-11-17,Wireless Noise-Canceling Headphones,Technology,1,192.42,192.42,Central
2021-05-29,Multipurpose Copy Paper (Carton),Office Supplies,2,41.47,82.94,West
2022-10-24,Standing Desk Converter,Furniture,1,171.96,171.96,Central
2021-08-01,Braided HDMI 4K Cable (2-Pack),,1,20.45,20.45,West
2021-10-05,Precision Wireless Mouse,Electronics Accessories,1,38.59,38.59,East
2022-02-17,Bookshelf 5-Tier,Furniture,2,145.98,291.96,North
2021-12-28,Executive Ergonomic Desk,Furniture,1,563.34,647.84,West
2024-06-01,Gel Pens Pack (24ct),Office Supplies,1,19.67,19.67,Central
2021-08-19,Multipurpose Copy Paper (Carton),Office Supplies,3,42.73,128.19,East
2021-08-22,Self-Adhesive Sticky Notes Bulk,Office Supplies,2,15.56,31.12,West
2024-12-31,Laptop Pro 15,Technology,3,1141.31,3937.52,South
2024-11-05,4K Ultra HD Monitor,Technology,1,367.36,422.46,West
2023-05-21,Smartphone Ultra,Technology,2,890.23,1780.46,North
2021-09-30,Document Filing Cabinet Tray,Office Supplies,1,33.88,33.88,East
2023-12-15,Bookshelf 5-Tier,Furniture,2,142.52,327.8,North
2023-07-04,High-Back Mesh Chair,Furniture,1,252.05,252.05,East
2024-02-15,Ergonomic Mechanical Keyboard,Technology,15,133.19,1997.85,West
2024-04-21,Conference Room Table,Furniture,1,770.83,770.83,North
2023-08-29,Executive Ergonomic Desk,Furniture,3,554.39,1663.17,West
2025-11-11,Laptop Pro 15,Technology,2,1190.54,2381.08,East
2024-11-24,HD Streaming Webcam 1080p,Electronics Accessories,2,69.18,138.36,East
2021-09-11,Precision Wireless Mouse,Electronics Accessories,1,38.1,38.1,East
2024-12-20,Gel Pens Pack (24ct),Office Supplies,8,18.37,169.0,North
2022-12-05,Conference Room Table,Furniture,2,797.47,1834.18,North
2022-09-04,Smartphone Ultra,Technology,3,936.83,2810.49,
2025-06-08,Wireless Noise-Canceling Headphones,Technology,1,192.62,192.62,East
